Metric,Accuracy,Accuracy,Accuracy,AUROC,AUROC,AUROC,F1,F1,F1
Model,Metric,ExtraTrees,KNN,Metric,ExtraTrees,KNN,Metric,ExtraTrees,KNN
0,0.9642857142857143,0.9714285714285714,0.9642857142857143,0.9937726449275361,0.9949048913043479,0.991508152173913,0.946236559139785,0.9574468085106383,0.946236559139785
1,0.95,0.95,0.95,0.9727128623188405,0.9842617753623188,0.9821105072463768,0.9278350515463918,0.9278350515463918,0.9278350515463918
2,0.9714285714285714,0.9714285714285714,0.9785714285714285,0.991508152173913,0.993546195652174,0.995018115942029,0.9591836734693877,0.96,0.9696969696969697
3,0.9642857142857143,0.9785714285714285,0.9714285714285714,0.9776855797263961,0.9965238842789863,0.988001794124243,0.9473684210526315,0.9690721649484536,0.9583333333333334
4,0.9640287769784173,0.9568345323741008,0.9640287769784173,0.9914148351648352,0.9946199633699634,0.9931318681318682,0.9473684210526315,0.9375,0.9473684210526315
5,0.9714285714285714,0.9857142857142858,0.9785714285714285,0.9818840579710144,0.993546195652174,0.9924139492753624,0.9591836734693877,0.9795918367346939,0.9690721649484536
6,0.9857142857142858,0.9785714285714285,0.9857142857142858,0.9939990942028984,0.9990942028985508,0.9925271739130435,0.9791666666666666,0.968421052631579,0.9791666666666666
7,0.9428571428571428,0.9642857142857143,0.9571428571428572,0.9812047101449274,0.9923007246376812,0.9791666666666665,0.9148936170212766,0.9484536082474226,0.9375
8,0.9642857142857143,0.9785714285714285,0.9642857142857143,0.9728638708230545,0.9958510876878224,0.9962996187485983,0.9473684210526315,0.9690721649484536,0.9473684210526315
9,0.9424460431654677,0.935251798561151,0.9496402877697842,0.9842032967032968,0.9884386446886446,0.9855769230769231,0.9166666666666666,0.9072164948453608,0.9278350515463918
